" ",,"First-year student",,"Second-year student",,"Junior",,"Senior",,"Total"
"Contact Frequency","n","%","n","%","n","%","n","%","n","%"
"None","340","7.55","630","13.10","1,099","19.56","1,485","23.55","3,554","16.73"
"Less than once a week","1,982","43.99","2,372","49.33","2,822","50.22","3,029","48.03","10,205","48.05"
"Between once and twice a week","1,144","25.39","954","19.84","941","16.75","1,027","16.29","4,066","19.14"
"Between twice and three times a week","552","12.25","444","9.23","403","7.17","419","6.64","1,818","8.56"
"Between three and four times a week","280","6.21","248","5.16","194","3.45","190","3.01","912","4.29"
"Between four and five times a week","135","3.00","81","1.68","90","1.60","86","1.36","392","1.85"
"Five or more times a week","73","1.62","79","1.64","70","1.25","70","1.11","292","1.37"
"Total","4,506","100.00","4,808","100.00","5,619","100.00","6,306","100.00","21,239","100.00"
